issued,describedByType,systemOfRecords,references,landingPage,title,theme,spatial,programCode,describedBy,description,language,isPartOf,bureauCode,contactPoint,accessLevel,publisher,keyword,license,rights,modified,accrualPeriodicity,dataQuality,distribution,identifier
2012-08-07,,,['http://www.marketnews.usda.gov/portal/fv'],,Fruit and Vegetable Market News Custom Search,,United States,['005:047'],http://www.marketnews.usda.gov/portal/fv,"The primary function of the Fruit and Vegetable  Market News Division of the Fruit and Vegetable Programs  is to provide an exchange of information for growers, shippers, wholesalers, researchers and others on supplies, demand and prices of fresh fruit and vegetables and speciality crops.",,,['005:45'],"{'hasEmail': 'mailto:Fred.Teensma@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Fred Teensma'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['FOB', 'Rail', 'Retail', 'Truck', 'apple', 'apricot', 'artichoke', 'asparagus', 'avocado', 'banana', 'bean', 'beet', 'berries', 'blueberries', 'blueberry', 'broccoli', 'brusselssprouts', 'cabbage', 'cantaloupe', 'carrot', 'cauliflower', 'celery', 'cherries', 'cherry', 'citrus', 'corn', 'cranberries', 'cranberry', 'cucumber', 'eggplant', 'endive', 'escarole', 'fruit', 'garlic', 'grape', 'greenhouse', 'greens', 'herbs', 'honeydew', 'kiwifruit', 'lettuce', 'mango', 'melon', 'movement', 'mushroom', 'nectarine', 'non-citrus', 'nuts', 'okra', 'onions', 'organic', 'ornamental', 'papaya', 'parsley', 'parsnip', 'pea', 'peach', 'pear', 'pepper', 'persimmon', 'pineapple', 'plantain', 'plum', 'pomegranate', 'potatoes', 'produce', 'prune', 'pumpkin', 'radishesraspberries', 'raspberry', 'rhubarb', 'rutabaga', 'shipments', 'shipping point', 'spinach', 'squash', 'strawberries', 'strawberry', 'sweetpotato', 'terminal market', 'tomato', 'turnip', 'vegetable', 'watermelon', 'wholesale market']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1D,,"[{'downloadURL': 'http://www.marketnews.usda.gov/portal/fv?&paf_gear_id=1200002&repType=wiz&paf_dm=full&startIndex=1&dr=1', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-9211
2013-04-26,,,['http://marketnews.usda.gov/'],,Fruit and Vegetable Market News Search,,United States,['005:047'],,"The primary function of the Fruit and Vegetable Market News Division of the Fruit and Vegetable Program is to compile and disseminate information that will aid producers, consumers, and distributors in the sale and purchase of poultry and their related products nationally and internationally.",,,['005:45'],"{'hasEmail': 'mailto:Fred.Teensma@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Fred Teensma'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['FOB', 'Rail', 'Retail', 'Truck', 'apple', 'apricot', 'artichoke', 'asparagus', 'avocado', 'banana', 'bean', 'beet', 'berries', 'blueberries', 'blueberry', 'broccoli', 'brusselssprouts', 'cabbage', 'cantaloupe', 'carrot', 'cauliflower', 'celery', 'cherries', 'cherry', 'citrus', 'corn', 'cranberries', 'cranberry', 'cucumber', 'eggplant', 'endive', 'escarole', 'fruit', 'garlic', 'grape', 'greenhouse', 'greens', 'herbs', 'honey', 'honeydew', 'kiwifruit', 'lettuce', 'mango', 'melon', 'movement', 'mushroom', 'nectarine', 'non-citrus', 'nuts', 'okra', 'onions', 'organic', 'ornamental', 'papaya', 'parsley', 'parsnip', 'pea', 'peach', 'pear', 'pecans', 'pepper', 'persimmon', 'pineapple', 'plantain', 'plum', 'pomegranate', 'potatoes', 'produce', 'prune', 'pumpkin', 'radishesraspberries', 'raspberry', 'rhubarb', 'rutabaga', 'shipments', 'shipping point', 'spinach', 'squash', 'strawberries', 'strawberry', 'sweetpotato', 'terminal market', 'tomato', 'turnip', 'vegetable', 'watermelon', 'wholesale market']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1D,,"[{'downloadURL': 'http://marketnews.usda.gov/', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-26521
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Barge Movements through Mississippi River Locks 27,,US,['005:047'],,Figure 10: Grain Barge Movements through Mississippi River Locks 27,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/New%20Figure10_bargemvmtsLock27.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5240
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Barges Unloaded in the New Orleans Port Region,,Global,['005:047'],,Figure 12: Grain Barges Unloaded in the New Orleans Port Region,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/New%20figure12_barges%20unloaded%20NOLA.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5242
2011-12-09,,,['http://www.ams.usda.gov/gtr'],,Grain Inspections for Export by Port Region,,Global,['005:047'],,Table 16: Grain Inspections for Export by Port Region,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/New%20Table16ExptInspsweb.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5247
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Transport Cost Indicators,,US,['005:047'],,Table 1: Grain Transport Cost Indicators,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/GTRTable1.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5225
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Transportation Report Rail Car Auction Offerings,,US,['005:047'],,Table 5: Rail Car Auction Offerings,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'https://www.ams.usda.gov/sites/default/files/media/Table5_RailCarAuctionOfferings.xlsm', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5232
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Transportation Report U.S. Origins to Export Position Price Spreads ($/bushel),,US,['005:047'],,Table 2: Market Update: U.S. Origins to Export Position Price Spreads ($/bushel),,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/GTRTable2.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5230
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Transportation Report: Bids/Offers for Railcars to be Delivered in the Secondary Market,,Global,['005:047'],,"Figure 4, 5, 6: Bids/Offers for Railcars to be Delivered in the Secondary Market",,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/Figure4_BidsOffersRailcarstobeDeliveredMonth1SecondaryMarket.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5233
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Grain Transportation Report: Rail Deliveries to Port,,US,['005:047'],,Grain Transportation Report Table 3: Rail Deliveries to Port,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/GTRTable3.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5231
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,"Grain Vessel Rates, U.S. to Japan",,Global,['005:047'],,"Figure 17: Grain Vessel Rates, U.S. to Japan",,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1M,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/New%20Figure17_Rates%20Web.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5251
2011-09-22,,,['http://www.ams.usda.gov/gtr'],,Illinois River Barge Freight Rate,,Global,['005:047'],,Figure 8: Illinois River Barge Freight Rate,,,['005:45'],"{'hasEmail': 'mailto:pierre.bahizi@ams.usda.gov', '@type': 'vcard:Contact', 'fn': 'Pierre Bahizi'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['barge', 'carload', 'domestic', 'export', 'fuel surcharge', 'grain', 'grain inspections', 'international', 'ocean freight', 'ocean vessel', 'port region', 'railcar auction', 'railroad', 'shipment', 'shuttle train', 'truck', 'unit train']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P1W,,"[{'downloadURL': 'http://www.ams.usda.gov/sites/default/files/media/New%20Figure8_Bargrate.xlsx', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Excel Document'}]",USDA-5237
2012-02-29,,,['http://www.usda.gov/maps/html/kyfglossary.htm'],,"Know Your Farmer, Know Your Food Projects",,United States,['005:047'],,This dataset reflects USDA funded projects to develop local and regional food systems. It includes data from virtually all USDA Agencies and 9 other Federal Departments.,,,['005:45'],"{'hasEmail': 'mailto:elanor.starmer@osec.usda.gov', '@type': 'vcard:Contact', 'fn': 'Elanor Starmer'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Federal-State Marketing Improvement Program', 'careers', 'farmers market promotion program', 'food hubs', 'healthy food access', 'know your farmer', 'local food', 'local meat', 'regional food systems', 'specialty Crop Block Grant']",https://creativecommons.org/licenses/by/4.0,,2014-12-23,R/P2Y,,"[{'downloadURL': 'http://www.usda.gov/maps/resources/KYF3Data/$file/kyfprojects.xls', 'mediaType': 'application/xls', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-29911
2012-03-28,,,['http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateB&navID=MarketNewsAndTransportationData&leftNav=MarketNewsAndTransportationData&page=LSMarketNewsPage'],,Livestock and Grain Market News LMR Web Services,,"United States, International",['005:047'],http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateB&navID=MarketNewsAndTransportationData&leftNav=MarketNewsAndTransportationData&page=LSMarketNewsPage,"The primary function of the Livestock and Grain Market News Division of the Livestock and Seed Program (LSP) is to compile and disseminate information that will aid producers, consumers, and distributors in the sale and purchase of livestock, meat, grain, and their related products nationally and internationally.",,,['005:45'],"{'hasEmail': 'mailto:WASH.LGMN@AMS.USDA.GOV', '@type': 'vcard:Contact', 'fn': 'Rick Tanger'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Beef', 'Cattle', 'Grain', 'Hogs', 'Lamb', 'Livestock', 'Market News', 'Meat', 'Sheep']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-26,R/P1D,,"[{'downloadURL': 'http://marketnews.usda.gov/portal/lg/lmprswsreg', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-9201
2012-03-29,,,['http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateB&navID=MarketNewsAndTransportationData&leftNav=MarketNewsAndTransportationData&page=LSMarketNewsPage'],,Livestock and Grain Market News Search,,United States,['005:047'],http://www.ams.usda.gov/AMSv1.0/ams.fetchTemplateData.do?template=TemplateB&navID=MarketNewsAndTransportationData&leftNav=MarketNewsAndTransportationData&page=LSMarketNewsPage,"The primary function of the Livestock and Grain Market News Division of the Livestock and Seed Program (LSP) is to compile and disseminate information that will aid producers, consumers, and distributors in the sale and purchase of livestock, meat, grain, and their related products nationally and internationally.",,,['005:45'],"{'hasEmail': 'mailto:WASH.LGMN@AMS.USDA.GOV', '@type': 'vcard:Contact', 'fn': 'Rick Tanger'}",public,"{'@type': 'org:Organization', 'name': 'Agricultural Marketing Service, Department of Agriculture'}","['Beans', 'Beef', 'By-products', 'Calves', 'Cattle', 'Feeder Pigs', 'Feedstuff', 'Goats', 'Grain', 'Grain Basis', 'Hay', 'Hogs', 'Lamb', 'Lentils', 'Livestock', 'Market News', 'Offal', 'Peas', 'Pork', 'Retail', 'Seed', 'Sheep']",https://creativecommons.org/publicdomain/zero/1.0/,,2014-02-26,R/P1D,,"[{'downloadURL': 'http://marketnews.usda.gov/portal/lg?paf_dm=full&reportConfig=true&paf_gear_id=4300017&category=', 'mediaType': 'text/html', '@type': 'dcat:Distribution', 'title': 'Web Page'}]",USDA-6225
